Isotope	State	Intensity (pps)	Proton current	Ion source	Info
29Cu	Cu62g	7.00E7	60	TRILIS	
29Cu	Cu60g	8.90E5	60	TRILIS	
29Cu	Cu59g	2.20E4	60	TRILIS	
29Cu	Cu61g	8.40E6	60	TRILIS	
29Cu	Cu63g	4.50E8	60	TRILIS	Faraday Cup Measurement
29Cu	Cu64g	2.50E8	60	TRILIS	Faraday Cup Measurement
29Cu	Cu65g	4.20E8	60	TRILIS	Faraday Cup Measurement
29Cu	Cu66g	1.40E8	60	TRILIS	
29Cu	Cu66g	1.10E8	60	TRILIS	
29Cu	Cu66g	1.30E6	60	Re surface	
29Cu	Cu67g	1.40E8	60	TRILIS	
29Cu	Cu68g	3.70E6	60	TRILIS	
29Cu	Cu68m1	1.40E7	60	TRILIS	
29Cu	Cu69g	1.00E7	60	TRILIS	
29Cu	Cu69g	1.30E7	60	TRILIS	
29Cu	Cu70g	2.30E6	60	TRILIS	
29Cu	Cu70m2	1.30E5	60	TRILIS	
29Cu	Cu70g	3.20E6	60	TRILIS	
29Cu	Cu70m1	1.50E6	60	TRILIS	
29Cu	Cu71g	3.80E5	60	TRILIS	
29Cu	Cu72g	3.80E4	60	TRILIS	
29Cu	Cu72g	2.70E4	60	TRILIS	
29Cu	Cu73g	1.40E4	60	TRILIS	
31Ga	Ga74g	2.20E6	60	Re surface	
31Ga	Ga75g	3.40E5	60	Re surface	
67Ho	Ho160g	5.70E8	60	TRILIS	
67Ho	Ho160g	4.60E8	60	Re surface	
67Ho	Ho161g	1.00E10	60	TRILIS	
67Ho	Ho161m1	5.20E7	60	TRILIS	
67Ho	Ho161g	9.60E9	60	Re surface	
67Ho	Ho161m1	5.60E7	60	Re surface	
67Ho	Ho162g	3.70E9	60	TRILIS	
67Ho	Ho162g	4.20E9	60	Re surface	
67Ho	Ho163g	5.70E9	60	TRILIS	Faraday Cup Measurement
67Ho	Ho157g	1.60E9	60	TRILIS	
67Ho	Ho157g	4.50E8	60	Re surface	
67Ho	Ho165g	2.00E9	60	TRILIS	Faraday Cup Measurement
67Ho	Ho156g	3.70E9	60	TRILIS	
69Tm	Tm156g	2.00E8	60	Re surface	
67Ho	Ho156g	5.40E8	60	Re surface	
69Tm	Tm156g	2.00E8	60	Re surface	
70Yb	Yb156g	1.60E8	60	Re surface	
67Ho	Ho155g	4.90E9	60	TRILIS	
67Ho	Ho154g	6.20E8	60	TRILIS	
67Ho	Ho154m1	3.10E8	60	TRILIS	
70Yb	Yb154g	1.20E5	60	Re surface	
67Ho	Ho154g	1.20E8	60	Re surface	
67Ho	Ho154m1	7.10E7	60	Re surface	
68Er	Er153g	1.10E7	60	Re surface	
67Ho	Ho153g	1.90E8	60	TRILIS	
67Ho	Ho153m1	3.40E8	60	TRILIS	
67Ho	Ho153m1	1.40E8	60	TRILIS	
67Ho	Ho153g	3.10E7	60	Re surface	
67Ho	Ho153m1	3.60E7	60	Re surface	
67Ho	Ho152g	5.70E7	60	TRILIS	
67Ho	Ho152g	2.60E7	60	TRILIS	
67Ho	Ho152m1	1.80E8	60	TRILIS	
67Ho	Ho152m1	1.10E8	60	TRILIS	
67Ho	Ho152g	1.30E7	60	Re surface	
67Ho	Ho152g	1.00E7	60	Re surface	
67Ho	Ho152m1	4.80E7	60	Re surface	
67Ho	Ho152m1	2.90E7	60	Re surface	
66Dy	Dy151g	5.90E8	60	Re surface	
67Ho	Ho151g	9.80E7	60	TRILIS	
67Ho	Ho151g	3.70E7	60	TRILIS	
67Ho	Ho151m1	1.20E7	60	TRILIS	
67Ho	Ho151g	3.10E7	60	Re surface	
67Ho	Ho151m1	3.60E6	60	Re surface	
67Ho	Ho151g	1.80E7	60	Re surface	
67Ho	Ho150g	2.20E7	60	Re surface	
67Ho	Ho150m1	1.10E7	60	Re surface	
67Ho	Ho150g	7.90E7	60	TRILIS	
67Ho	Ho150m1	3.40E7	60	TRILIS	
67Ho	Ho149g	1.50E7	60	TRILIS	
67Ho	Ho149m1	2.20E6	60	TRILIS	
67Ho	Ho149g	4.30E6	60	Re surface	
67Ho	Ho149m1	9.80E5	60	Re surface	
67Ho	Ho148g	4.00E5	60	Re surface	
67Ho	Ho148g	1.10E6	60	TRILIS	
67Ho	Ho148m1	5.50E5	60	TRILIS	
67Ho	Ho147g	4.50E4	60	TRILIS	relative BR
67Ho	Ho146g	6.00E3	60	Re surface	relative BR
67Ho	Ho146g	6.60E3	60	TRILIS	relative BR
67Ho	Ho158g	1.20E9	60	TRILIS	
67Ho	Ho159g	2.00E9	60	TRILIS	
67Ho	Ho159g	6.80E8	60	Re surface	
71Lu	Lu167g	3.10E9	60	TRILIS	
71Lu	Lu167g	8.60E8	60	Re surface	
71Lu	Lu166g	4.40E8	60	TRILIS	
71Lu	Lu166m1	1.70E8	60	TRILIS	
71Lu	Lu166m2	2.00E8	60	TRILIS	
71Lu	Lu166g	1.60E8	60	Re surface	
71Lu	Lu166m1	1.50E8	60	Re surface	
71Lu	Lu166m2	7.50E7	60	Re surface	
70Yb	Yb165g	3.60E9	60	Re surface	
71Lu	Lu165g	1.70E8	60	TRILIS	relative BR
71Lu	Lu164g	3.60E8	60	TRILIS	
71Lu	Lu164g	1.50E8	60	Re surface	
71Lu	Lu164g	5.40E8	60	TRILIS	
71Lu	Lu163g	6.60E7	60	TRILIS	relative BR
70Yb	Yb163g	1.40E10	60	Re surface	
71Lu	Lu163g	6.20E7	60	Re surface	relative BR
71Lu	Lu162g	6.60E7	60	TRILIS	
70Yb	Yb162g	6.40E9	60	Re surface	
71Lu	Lu162g	6.60E7	60	Re surface	
70Yb	Yb161g	2.10E9	60	Re surface	
71Lu	Lu160g	2.20E7	60	TRILIS	
71Lu	Lu160g	3.30E7	60	TRILIS	
71Lu	Lu160g	7.80E6	60	Re surface	
70Yb	Yb160g	2.30E9	60	Re surface	
71Lu	Lu159g	2.30E7	60	Re surface	
71Lu	Lu158g	7.50E5	60	TRILIS	
71Lu	Lu156g	4.40E3	60	Re surface	
71Lu	Lu168g	6.80E8	60	TRILIS	
71Lu	Lu168m1	1.70E9	60	TRILIS	
71Lu	Lu168g	2.00E8	60	Re surface	
71Lu	Lu168m1	6.50E8	60	Re surface	
71Lu	Lu169g	2.30E10	60	TRILIS	
71Lu	Lu169g	3.10E9	60	Re surface	
71Lu	Lu170g	1.40E10	60	TRILIS	
71Lu	Lu170g	3.10E9	60	Re surface	
71Lu	Lu171g	2.00E10	60	TRILIS	
71Lu	Lu171g	2.70E9	60	Re surface	
71Lu	Lu172g	3.90E9	60	TRILIS	
71Lu	Lu172g	5.90E8	60	Re surface	
71Lu	Lu177g	2.00E9	60	TRILIS	
71Lu	Lu177g	4.20E7	60	Re surface	
71Lu	Lu178g	4.20E7	60	TRILIS	
71Lu	Lu178g	1.00E7	60	Re surface	
71Lu	Lu180g	1.20E5	60	TRILIS	
38Sr	Sr94g	4.80E5	60	Re surface	
39Y	Y94g	1.80E5	60	TRILIS	
39Y	Y95g	1.20E5	60	TRILIS	
39Y	Y96m1	1.50E3	60	TRILIS	
39Y	Y97g	2.80E2	60	TRILIS	
39Y	Y97m1	1.30E2	60	TRILIS	
39Y	Y97m1	1.70E2	60	TRILIS	
39Y	Y98g	8.40E1	60	TRILIS	
39Y	Y98m1	9.50E1	60	TRILIS	
39Y	Y87m1	1.40E7	60	TRILIS	
69Tm	Tm157g	6.10E8	60	Re surface	
67Ho	Ho156g	1.40E6	60	Re surface	156Ho16O
70Yb	Yb156g	2.90E4	60	Re surface	156Yb16O
68Er	Er152g	1.10E3	60	Re surface	152Er19F
67Ho	Ho155g	1.40E6	60	Re surface	155Ho16O
69Tm	Tm155m1	3.60E4	60	Re surface	155Tm16O
67Ho	Ho154g	4.00E5	60	Re surface	154Ho16O
66Dy	Dy151g	4.80E5	60	Re surface	151Dy19F
66Dy	Dy151g	2.50E5	60	Re surface	151Dy19F
67Ho	Ho151g	1.60E5	60	Re surface	151Ho19F
67Ho	Ho151m1	1.80E3	60	Re surface	151Ho19F
71Lu	Lu168m1	8.40E8	60	Re surface	
71Lu	Lu168m1	2.90E5	60	Re surface	168Lu16O
70Yb	Yb165g	4.90E4	60	Re surface	165Yb16O
71Lu	Lu166g	1.40E8	60	Re surface	
71Lu	Lu166m1	1.60E8	60	Re surface	
71Lu	Lu166m2	7.40E7	60	Re surface	
69Tm	Tm166g	8.80E7	60	Re surface	
69Tm	Tm173g	8.20E6	60	Re surface	
69Tm	Tm172g	2.70E7	60	Re surface	
37Rb	Rb92g	6.40E5	60	Re surface	
38Sr	Sr92g	1.50E7	60	Re surface	
37Rb	Rb93g	1.80E5	60	Re surface	
38Sr	Sr93g	2.90E6	60	Re surface	
39Y	Y83g	1.70E3	60	Re surface	83Y16O
37Rb	Rb89g	5.10E7	60	Re surface	
39Y	Y89m1	4.70E5	60	TRILIS	
39Y	Y84m1	1.20E5	60	TRILIS	
3Li	Li8g	5.00E8	60	Re surface	
3Li	Li9g	4.20E7	60	Re surface	
3Li	Li11g	1.10E4	60	Re surface	
62Sm	Sm141g	2.80E8	60	TRILIS	
62Sm	Sm141g	2.30E8	60	Re surface	
62Sm	Sm139m1	5.00E7	60	TRILIS	
62Sm	Sm139m1	3.30E7	60	Re surface	
62Sm	Sm139g	2.10E8	60	TRILIS	
62Sm	Sm139g	1.30E8	60	Re surface	
62Sm	Sm140g	9.70E8	60	TRILIS	
62Sm	Sm140g	7.20E8	60	Re surface	
62Sm	Sm136g	2.60E6	60	TRILIS	
62Sm	Sm136g	1.60E6	60	Re surface	
63Eu	Eu143g	1.10E9	60	Re surface	
63Eu	Eu141g	2.30E8	60	Re surface	
60Nd	Nd141m1	1.40E7	60	Re surface	
61Pm	Pm141g	1.70E8	60	Re surface	
62Sm	Sm141g	2.70E8	60	TRILIS	
62Sm	Sm141m1	7.10E8	60	TRILIS	
60Nd	Nd141m1	1.10E7	60	Re surface	
70Yb	Yb177g	5.30E7	60	TRILIS	
70Yb	Yb177m1	2.40E6	60	TRILIS	
70Yb	Yb177g	1.50E7	60	Re surface	
70Yb	Yb177m1	6.30E5	60	Re surface	
70Yb	Yb175g	1.30E9	60	TRILIS	
70Yb	Yb175m1	1.30E5	60	Re surface	
70Yb	Yb175m1	5.40E5	60	TRILIS	
70Yb	Yb176m1	1.20E7	60	TRILIS	
70Yb	Yb176m1	1.80E7	60	TRILIS	
70Yb	Yb178g	2.90E6	60	TRILIS	
70Yb	Yb178g	5.20E5	60	Re surface	
63Eu	Eu142g	3.50E9	60	Re surface	
63Eu	Eu142g	2.60E9	60	Re surface	
71Lu	Lu172g	6.50E8	60	Re surface	
69Tm	Tm172g	4.20E7	60	Re surface	
69Tm	Tm164m1	1.50E9	60	Re surface	
70Yb	Yb164g	2.00E10	60	Re surface	
70Yb	Yb164g	6.40E10	60	TRILIS	
70Yb	Yb163g	1.40E11	60	TRILIS	
70Yb	Yb163g	4.70E10	60	Re surface	
69Tm	Tm163g	1.40E10	60	Re surface	
70Yb	Yb162g	7.20E10	60	TRILIS	
70Yb	Yb161g	3.10E10	60	TRILIS	
70Yb	Yb161g	4.00E9	60	Re surface	
70Yb	Yb160g	3.40E10	60	TRILIS	
70Yb	Yb160g	1.10E10	60	Re surface	
70Yb	Yb159g	1.10E10	60	Re surface	
70Yb	Yb159g	3.90E9	60	Re surface	
70Yb	Yb158g	6.60E9	60	TRILIS	
70Yb	Yb158g	2.00E9	60	Re surface	
70Yb	Yb157g	1.80E9	60	TRILIS	
70Yb	Yb157g	7.60E8	60	Re surface	
70Yb	Yb156g	7.10E8	60	TRILIS	
70Yb	Yb156g	1.80E8	60	Re surface	
